time,x
920.0,-4.1407129970820336
921.0,-4.099639082043685
922.0,-4.090383112291131
923.0,-4.085734122340994
924.0,-4.025205048707326
925.0,-4.050907956547548
926.0,-4.0910071643231225
927.0,-4.101193685124829
928.0,-4.03183997442685
929.0,-4.111235679707176
930.0,-4.041722473683243
931.0,-4.0779387692997595
932.0,-4.140793048110426
933.0,-4.067335421546333
934.0,-4.0722340097812815
935.0,-4.146606874336217
936.0,-4.166609420673343
937.0,-4.112142747332923
938.0,-4.042615287339936
939.0,-4.06658270347051
940.0,-4.04242852819697
941.0,-4.000509726884977
942.0,-4.037043315579459
943.0,-4.015855113056517
944.0,-4.017009022556394
945.0,-4.047269646281756
946.0,-4.07499188708846
947.0,-4.070424976504504
948.0,-4.068005492435349
949.0,-4.09995859155929
950.0,-4.1238496025064215
951.0,-4.058866021248934
952.0,-4.045826789801552
953.0,-3.994034155905365
954.0,-3.923964084802992
955.0,-3.8892964082938373
956.0,-3.757521799954049
957.0,-3.804528353124113
958.0,-3.757204369802947
959.0,-3.774930077598671
960.0,-3.667141007440087
961.0,-3.568339105711592
962.0,-3.680555486836967
963.0,-3.7358637665033734
964.0,-3.6968709481189634
965.0,-3.6506359152272547
966.0,-3.6074862365945446
967.0,-3.610960901438938
968.0,-3.584067147556832
969.0,-3.5457521943962043
970.0,-3.5496419016928784
971.0,-3.4897237373531858
972.0,-3.6195792581024424
973.0,-3.582368357944065
974.0,-3.641456960793383
975.0,-3.58548511722033
976.0,-3.598075233240133
977.0,-3.6487742524097535
978.0,-3.626563195815377
979.0,-3.678559051605547
980.0,-3.730628833132401
981.0,-3.8204788153462887
982.0,-3.8213676276461057
983.0,-3.792030195650869
984.0,-3.732317465822669
985.0,-3.7398620394274573
986.0,-3.6787247126066105
987.0,-3.6770588092925336
988.0,-3.681816181129821
989.0,-3.6480720544375216
990.0,-3.5863420335572704
991.0,-3.6054416290682454
992.0,-3.618898815640669
993.0,-3.627565723205995
994.0,-3.6221668657958315
995.0,-3.673532701385242
996.0,-3.613552705545261
997.0,-3.6360525824873533
998.0,-3.608731766487359
999.0,-3.6557734879406896
1000.0,-3.6344329299464193
1001.0,-3.611202942967079
1002.0,-3.6348736131081236
1003.0,-3.5175760782795407
1004.0,-3.495552700657196
1005.0,-3.3923640511673963
1006.0,-3.3364081707328928
1007.0,-3.374074222088789
1008.0,-3.3955629462192856
1009.0,-3.369804065883983
1010.0,-3.3656961561908396
1011.0,-3.3622651062199096
1012.0,-3.378214333927736
1013.0,-3.4820492152430917
1014.0,-3.4944692732875917
1015.0,-3.6219351506541124
1016.0,-3.5998489208258424
1017.0,-3.6411524456410485
1018.0,-3.6818345471223792
1019.0,-3.6938666000685902
1020.0,-3.6774923401809714
1021.0,-3.759540540159626
1022.0,-3.8598533344589225
1023.0,-3.920742784017779
1024.0,-4.037951675514086
1025.0,-4.09308242330566
1026.0,-4.000532982931717
1027.0,-4.060851056014039
1028.0,-4.022547905296528
1029.0,-4.10105157088799
1030.0,-4.083080732615801
1031.0,-4.10084251700839
1032.0,-4.103594717320381
1033.0,-4.07005476460323
1034.0,-3.967962364788514
1035.0,-3.9560426135624005
1036.0,-3.9481864091155483
1037.0,-4.003708826566587
1038.0,-3.9693452096623876
1039.0,-3.9828735909978814
1040.0,-3.934156717833155
1041.0,-3.936007515567147
1042.0,-3.8348262528663724
1043.0,-3.948654377029251
1044.0,-3.965103475146886
1045.0,-3.9135332228893693
1046.0,-3.933111376822279
1047.0,-3.978175093639165
1048.0,-3.9928455966924834
1049.0,-4.071833191091872
1050.0,-4.064269258932642
1051.0,-3.9226742890997066
1052.0,-3.8558952324360685
1053.0,-3.9192646875136528
1054.0,-3.96901700903668
1055.0,-3.9917054248030692
1056.0,-3.933032998567782
1057.0,-3.979789169908906
1058.0,-4.018959302638495
1059.0,-3.967191176809656
1060.0,-3.916592194345162
1061.0,-3.9375048013483522
1062.0,-4.001365734406397
1063.0,-4.090156207876443
1064.0,-4.1298131561625695
1065.0,-4.2578867569995005
1066.0,-4.213867944702686
1067.0,-4.249522368474923
1068.0,-4.221008354584655
1069.0,-4.112418930518748
1070.0,-4.043992920181922
1071.0,-4.109762347746667
1072.0,-4.058873616680918
1073.0,-3.9913307926884736
1074.0,-4.033739336337408
1075.0,-4.088088339545039
1076.0,-4.093722492212596
1077.0,-4.1854808371956675
1078.0,-4.099852352812303
1079.0,-4.238025172963361
1080.0,-4.301202183271593
1081.0,-4.316030188705092
1082.0,-4.328403186428263
1083.0,-4.3180720058870214
1084.0,-4.301661684784455
1085.0,-4.313259155074312
1086.0,-4.2468835849928865
1087.0,-4.369674465641954
1088.0,-4.368936911061383
1089.0,-4.409446534606215
1090.0,-4.401042015511583
1091.0,-4.387544024837698
1092.0,-4.439438381737594
1093.0,-4.4756846094596305
1094.0,-4.429159417045455
1095.0,-4.408249421455006
1096.0,-4.446769935566428
1097.0,-4.328236542845777
1098.0,-4.194176140706177
1099.0,-4.277894402226693
1100.0,-4.259738900271679
1101.0,-4.114153781112513
1102.0,-4.068192004449785
1103.0,-4.054733580707719
1104.0,-4.066052538035029
1105.0,-4.096603260027876
1106.0,-4.1081724343896004
1107.0,-4.139266466224221
1108.0,-4.0955515005449215
1109.0,-4.117838724498235
1110.0,-4.142604620725382
1111.0,-4.21130316809357
1112.0,-4.213446263667058
1113.0,-4.264348059003003
1114.0,-4.27405462898603
1115.0,-4.213174674666268
1116.0,-4.191327694387572
1117.0,-4.16147080381524
1118.0,-4.1402004284654526
1119.0,-4.13607609487109
1120.0,-4.142720277586229
1121.0,-4.159783225727282
1122.0,-4.115244415634457
1123.0,-4.17713947554714
1124.0,-4.099018684510247
1125.0,-4.0963504059807985
1126.0,-4.1388763186990145
1127.0,-4.166409585894707
1128.0,-4.20478334291535
1129.0,-4.194814953871688
