devices,protocol,success_probability,success_probability_std,mean_aoi_s,mean_aoi_s_std,mean_semantic_distortion,mean_semantic_distortion_std,mean_realistic_distortion,mean_realistic_distortion_std,energy_efficiency_bits_per_j,energy_efficiency_bits_per_j_std,goodput_bits,setup_h1_5_6_pct,setup_h2_2_3_pct,setup_h3_1_2_pct
97500,Semantic,0.011260324403250248,0.00047654799358472433,593.7169305774407,0.27947851756911446,0.3456401109464759,0.0007212057619076276,1.1748422971053283,0.001054401208879551,9.782272232187768,0.4138886001735432,39600.0,16.71891969212892,50.38935852858549,32.89172177928559
115000,DR8,9.629618414017595e-05,3.7108912998261524e-05,599.9342544887568,0.015587116217337658,0.5238457918914702,0.002025811722273759,1.5157439310403524,0.005199721863642878,0.05501004509527352,0.021198794071625844,440.0,0.0,0.0,0.0
115000,DR9,0.0013921381497804964,0.00011240258613396008,598.8400773393715,0.08228606048065239,0.523075531982321,0.004779954119876323,1.5111574393494078,0.003154116322200903,1.2846395151526027,0.10372304198099985,6360.0,0.0,0.0,0.0
115000,Semantic,0.0053955658203816426,0.0004368770893954023,597.6302064112238,0.207704186432936,0.3455061639744452,0.0007841936770469284,1.1748371434928333,0.003926372842915463,4.687892374425888,0.3800589398262152,22360.0,16.714556564966884,50.42979890627945,32.855644528753665
132500,DR8,7.600632372613402e-06,1.0748917383961867e-05,599.9967432490839,0.0046057413146706255,0.5223678770486814,0.0030744897040759192,1.5122403754070524,0.005657581424411373,0.004341928325648189,0.006140413924983573,40.0,0.0,0.0,0.0
132500,DR9,0.00041686681015457846,0.00011977124422749789,599.6838140844311,0.10037260181920202,0.522354785368435,0.0027829993273544565,1.5129174066506663,0.018516911071752382,0.3846770357989542,0.11052270432923805,2200.0,0.0,0.0,0.0
132500,Semantic,0.0031883553790537917,4.218224768603302e-05,598.9776362053025,0.06497290080140129,0.34552242158021657,0.0009232652276128483,1.1782129945887467,0.001978045529084616,2.7681622991290498,0.035402916341024014,15240.0,16.648754792429088,50.36247715465235,32.98876805291856
150000,DR8,0.0,0.0,600.0,0.0,0.5220638422968131,0.001137923251857386,1.5129826740074157,0.0026589924393318654,0.0,0.0,0.0,0.0,0.0,0.0
150000,DR9,0.00012716824034031702,2.829648935943592e-05,599.8919223925238,0.04146364382777009,0.5248539932506844,0.0005843562729662702,1.5208292111782085,0.011298687917171205,0.11734851648118333,0.026111480657979053,760.0,0.0,0.0,0.0
150000,Semantic,0.002112586598399504,0.0002900049332476231,599.5082267806631,0.06892281659474819,0.345354611317946,0.0007643040837933596,1.1785940779088055,0.001000580665896884,1.8346378797508822,0.25301486220930186,11440.0,16.677515646118856,50.36258084920574,32.959903504675395
