devices,nodes_simulated,protocol,seed,success_probability,mean_aoi_s,mean_semantic_distortion,mean_realistic_distortion,energy_efficiency_bits_per_j,goodput_bits,total_tx_airtime_s,transmitted_packets,setup_h1_5_6_pct,setup_h2_2_3_pct,setup_h3_1_2_pct
115000,14375,DR8,0,7.00562201166436e-05,599.9452762443333,0.5224133266852432,1.5120671724502868,0.0400202340542497,320.0,79959.55235199821,57097,0.0,0.0,0.0
115000,14375,DR8,1,0.0001225361481637083,599.9232327331804,0.5252782570976972,1.5194206896304183,0.06999985613629733,560.0,80000.1644159981,57126,0.0,0.0,0.0
115000,14375,DR9,0,0.0013126575189022682,598.8982623707345,0.5264554699542461,1.5133877363894874,1.2112962488025407,6000.0,49533.71238399739,57136,0.0,0.0,0.0
115000,14375,DR9,1,0.0014716187806587246,598.7818923080085,0.5196955940103959,1.5089271423093285,1.3579827815026646,6720.0,49485.16351999721,57080,0.0,0.0,0.0
115000,14375,Semantic,0,0.005704484572838174,597.4833373725162,0.3460606726412487,1.172060778630141,4.956634628027575,23680.0,47774.35049600001,51889,16.654782323806586,50.569484861916784,32.77573281427663
115000,14375,Semantic,1,0.005086647067925112,597.7770754499313,0.3449516553076417,1.1776135083555255,4.4191501208242014,21040.0,47610.964608,51704,16.774330806127185,50.29011295064212,32.9355562432307
132500,16562,DR8,0,0.0,600.0,0.5201938845302411,1.508239861216736,0.0,0.0,92438.6593279967,66008,0.0,0.0,0.0
132500,16562,DR8,1,1.5201264745226803e-05,599.993486498168,0.5245418695671217,1.5162408895973687,0.008683856651296378,80.0,92124.96614399677,65784,0.0,0.0,0.0
132500,16562,DR9,0,0.0003321757511701646,599.7547882318229,0.5203869076720251,1.4998239732652021,0.3065256820926741,1760.0,57417.701119995756,66230,0.0,0.0,0.0
132500,16562,DR9,1,0.0005015578691389924,599.6128399370394,0.524322663064845,1.5260108400361307,0.4628283895052342,2640.0,57040.580479995464,65795,0.0,0.0,0.0
132500,16562,Semantic,0,0.0031585280256693072,599.0235789840525,0.34617526868349535,1.176814305181635,2.7431286569105313,15120.0,55119.543744,59838,16.594805976135564,50.55650255690364,32.848691466960794
132500,16562,Semantic,1,0.0032181827324382762,598.9316934265524,0.3448695744769378,1.1796116839958581,2.7931959413475678,15360.0,54990.77158400001,59661,16.702703608722615,50.16845175240107,33.128844638876316
150000,18750,DR8,0,0.0,600.0,0.5212592090489548,1.5111024824224404,0.0,0.0,104433.2223679962,74573,0.0,0.0,0.0
150000,18750,DR8,1,0.0,600.0,0.5228684755446713,1.514862865592391,0.0,0.0,105175.44284799554,75103,0.0,0.0,0.0
150000,18750,DR9,0,0.00014717687985014717,599.8626031688004,0.5244407909674411,1.5128398323334662,0.13581212152126168,880.0,64795.39455999397,74740,0.0,0.0,0.0
150000,18750,DR9,1,0.00010715960083048691,599.9212416162471,0.5252671955339278,1.5288185900229507,0.09888491144110496,640.0,64721.704319994125,74655,0.0,0.0,0.0
150000,18750,Semantic,0,0.00231765105327645,599.4594909896705,0.3458950559184848,1.1793015952827852,2.0135464045600595,12560.0,62377.50454400001,67741,16.66051578807517,50.521840539702694,32.81764367222214
150000,18750,Semantic,1,0.0019075221435225576,599.5569625716557,0.3448141667174071,1.1778865605348257,1.655729354941705,10320.0,62329.027200000004,67627,16.69451550416254,50.203321158708796,33.10216333712866
